Категория;Подкатегория;Группа;Подгруппа;Товар;Бренд;Максимальная продажная цена;Средняя цена продажи (руб)
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Гауда полутвёрдый 50% Частная сыроварня 200г;Частная сыроварня; 324 ; 293 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Качотта с вял томат  п/тв 50% Частн сыроварня 200г;Частная сыроварня; 324 ; 303 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Качотта с грец орех п/тв 50% Частная сыроварня 200г;Частная сыроварня; 324 ; 300 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Качотта с пажитн п/тв  50% Частная сыроварня 200г;Частная сыроварня; 324 ; 292 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Качотта с пров  трав п/тв 50% Частн сыроварня 200г;Частная сыроварня; 324 ; 301 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Николаевские сыроварни Моцарелла  для пиццы 45% 400г Россия;Николаевские сыроварни; 324 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Полутвердый Grunlander Чеддер 180 г Россия;Хохланд; 324 ; 181 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Чеддер полутвёрдый 50% Частная сыроварня 200г;Частная сыроварня; 324 ; 303 
135. Сыры;135.13. Творожные и рассольные сыры;135.13.12. Фета, брынза;135.13.12.15. Фета, брынза шт;БЗМЖ Сыр рассольный Arla APETINA Traditional 52,5% 500 г.;Apetina; 324 ;
135. Сыры;135.13. Творожные и рассольные сыры;135.13.15. Моцарелла;135.13.15.10. Моцарелла, буратта свежая шт.;БЗМЖ Сыр Буррата Felicita 60% 125г Россия;Felicita; 324 ; 244 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.16. Прочие сыры с белой плесенью (шт);БЗМЖ Сыр Флер де Франс BURENKA CLUB 60% 110г Россия;Burenka Club; 324 ; 229 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.20. Сыры белая плесень;135.16.20.20. Бри (шт);БЗМЖ Сыр Бри Бланш BURENKA CLUB 50% 125г;Burenka Club; 324 ; 256 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.16. Сыры голубая плесень шт;БЗМЖ Мягкий сыр с голубой плесенью Блю Крема 70% 90 гр;Не бренд; 324 ; 246 
135. Сыры;135.16. Деликатесные, десертные сыры;135.16.23. Сыры голубая плесень;135.16.23.16. Сыры голубая плесень шт;БЗМЖ Сыр WhiteCheese from Zhukovka Бресс Блю 60% 125г Россия;WhiteCheese from Zhukovka; 324 ; 289 
135. Сыры;135.19. Плавленые, копченые, колбасные  сыры;135.19.18. Копченый сыр;135.19.18.12. Сыр копченый весовой;Сыр копч. Карамболь пряный Средиземноморский 50% кг;Белебей; 321 ;
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.15. Сыры сычужные твердые шт;БЗМЖ Сыр твердый Пармезан  BURЁNKA CLUB 45% 125г Россия;Burenka Club; 319 ; 247 
135. Сыры;135.10. Сычужные сыры;135.10.12. Сыры сычужные твердые;135.10.12.18. Сыры сычужные твердые тертые шт;БЗМЖ Сыр Natura Selection Пармезан  45% тертый гранулы 150г Россия;Natura; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ  Сыр Честер 45 % выдерж 2 мес  Сыроварни Йонаса 250г;Сыроварни Йонаса; 319 ; 263 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Горный Мастер КИПРИНО 180гр;Киприно; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр качотта трюфельная FORMAGGI 120г в/у;Formaggi; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Киприно 50% Киприно 200 гр;Киприно; 319 ; 263 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Киприно Гауда 45% 250г Россия;Киприно; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Маасдам Рейф м.д.ж. 45% Mildar, 220гр;Mildar; 319 ; 236 
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Псковский гостинец Голландский 50%450гРоссия;Псковский Гостинец; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Псковский гостинец Российский 45% 450гРоссия;Псковский Гостинец; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.15. Сыры сычужные полутвердые шт;БЗМЖ Сыр Сливочный Киприно 50% 250 гр;Киприно; 319 ;
135. Сыры;135.10. Сычужные сыры;135.10.15. Сыры сычужные полутвердые;135.10.15.18. Сыры сычужные полутвердые нарезка шт;БЗМЖ Сыр Российский Луговая свежесть 50% 380г Россия;Луговая свежесть; 319 ;
